value,x,y,z,name
1,48,94,35,Frontal Pole
2,25,70,32,Insular Cortex
3,33,73,63,Superior Frontal Gyrus
4,25,72,55,Middle Frontal Gyrus
5,20,77,40,"Inferior Frontal Gyrus, pars triangularis"
6,20,71,47,"Inferior Frontal Gyrus, pars opercularis"
7,44,51,68,Precentral Gyrus
8,61,69,17,Temporal Pole
9,73,59,32,"Superior Temporal Gyrus, anterior division"
10,75,52,35,"Superior Temporal Gyrus, posterior division"
11,74,59,26,"Middle Temporal Gyrus, anterior division"
12,14,51,30,"Middle Temporal Gyrus, posterior division"
13,72,35,38,"Middle Temporal Gyrus, temporooccipital part"
14,22,61,16,"Inferior Temporal Gyrus, anterior division"
15,70,42,26,"Inferior Temporal Gyrus, posterior division"
16,70,35,29,"Inferior Temporal Gyrus, temporooccipital part"
17,52,42,69,Postcentral Gyrus
18,28,39,63,Superior Parietal Lobule
19,73,48,53,"Supramarginal Gyrus, anterior division"
20,72,39,51,"Supramarginal Gyrus, posterior division"
21,21,37,55,Angular Gyrus
22,60,28,57,"Lateral Occipital Cortex, superior division"
23,68,28,38,"Lateral Occipital Cortex, inferior division"
24,47,23,40,Intracalcarine Cortex
25,45,84,27,Frontal Medial Cortex
26,45,63,63,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
27,46,74,27,Subcallosal Cortex
28,45,80,52,Paracingulate Gyrus
29,45,61,57,"Cingulate Gyrus, anterior division"
30,44,42,54,"Cingulate Gyrus, posterior division"
31,45,31,55,Precuneous Cortex
32,45,23,49,Cuneal Cortex
33,25,77,29,Frontal Orbital Cortex
34,57,62,18,"Parahippocampal Gyrus, anterior division"
35,58,45,28,"Parahippocampal Gyrus, posterior division"
36,41,22,33,Lingual Gyrus
37,62,61,15,"Temporal Fusiform Cortex, anterior division"
38,64,47,24,"Temporal Fusiform Cortex, posterior division"
39,62,37,29,Temporal Occipital Fusiform Cortex
40,33,23,30,Occipital Fusiform Gyrus
41,66,74,37,Frontal Operculum Cortex
42,19,61,40,Central Opercular Cortex
43,17,50,47,Parietal Operculum Cortex
44,20,60,36,Planum Polare
45,67,52,39,Heschl's Gyrus (includes H1 and H2)
46,74,53,40,Planum Temporale
47,44,21,42,Supracalcarine Cortex
48,37,15,34,Occipital Pole
